date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
2020-03-03,-0.9880881309509277,1.0,0.20177374102854098,0.1792206874273352,0.0,1.0,0.30977011494253137,0.4623987357584584
2020-03-08,-1.0,1.0,0.543816050355568,0.267416889592047,0.0,1.0,0.011869412515964118,0.10829833591745588
2020-03-13,-1.0,1.0,0.3443791248763248,0.23879029865278667,0.0,1.0,0.14386174968071597,0.35094949303214024
2020-03-18,-0.8640679717063904,1.0,0.17820508744298585,0.16638894984183195,0.0,1.0,0.5133979885057415,0.4998204616699904
2020-03-23,-0.9376623630523682,1.0,0.30206223590019676,0.2200178653842318,0.0,1.0,0.006513409961685874,0.08044243564411041
2020-03-28,-0.9085551500320435,1.0,0.35278113817702417,0.2347025550286059,0.0,1.0,0.0030132503192847747,0.054810315103985215
2020-04-02,-0.9153538346290588,1.0,0.22414827262845138,0.19942592664810155,0.0,1.0,0.08303400383141918,0.27593361165167796
2020-04-07,-0.9124663472175598,1.0,0.3234703628881377,0.2565345613882479,0.0,1.0,0.16032886334610585,0.3669107778796518
2020-04-12,-0.2128719985485077,0.10194280743598938,0.050491047532255404,0.03202441555092392,1.0,1.0,1.0,0.0
2020-04-17,-0.820469319820404,1.0,0.10452624608041496,0.11780308978961108,0.0,1.0,0.8504070881226116,0.35667193973374955
2020-04-22,-0.9560912847518921,1.0,0.2339244019442391,0.20168409620261427,0.0,1.0,0.19894236909323632,0.39920458774017453
2020-04-27,-0.8512623310089111,1.0,0.16269432185094837,0.1358806018890566,0.0,1.0,0.9076348978288609,0.2895406535739889
2020-05-02,-0.9813084006309509,1.0,0.19524977231703677,0.1867517275791458,0.0,1.0,0.20545577905491377,0.40403428308480227
2020-05-07,-1.0,1.0,0.4545900262481378,0.2772662274735513,0.0,1.0,0.0013010855683269313,0.03604709065473738
2020-05-12,-1.0,1.0,0.3068809073080076,0.25034509299770985,0.0,1.0,0.019979246487867322,0.13992882547082272
2020-05-22,-0.9010389447212219,1.0,0.19023223417214888,0.22265760775594315,0.0,1.0,0.5658884099616911,0.49563970526253165
2020-05-27,-0.909604549407959,1.0,0.43916480620526155,0.2980626822695558,0.0,1.0,0.008644636015325766,0.09257378831768932
